,weekday,line_count,notes,timestamp_arrive,timestamp_depart
199,Friday,0,,2017-01-20 07:51:00,2017-01-20 07:51:00
200,Friday,4,,2017-01-20 08:07:00,2017-01-20 08:13:00
201,Monday,0,,2017-01-23 07:21:00,2017-01-23 07:21:00
202,Monday,1,,2017-01-23 08:06:00,2017-01-23 08:07:00
203,Tuesday,7,,2017-01-24 07:24:00,2017-01-24 07:26:00
204,Tuesday,21,,2017-01-24 08:07:00,2017-01-24 08:16:00
205,Wednesday,2,,2017-01-25 07:30:00,2017-01-25 07:34:00
206,Wednesday,11,,2017-01-25 08:04:00,2017-01-25 08:09:00
207,Thursday ,3,,2017-01-26 08:15:00,2017-01-26 08:20:00
208,Monday,10,,2017-01-30 08:28:00,2017-01-30 08:33:00
209,Tuesday,2,,2017-01-31 07:19:00,2017-01-31 07:21:00
210,Tuesday,11,,2017-01-31 08:29:00,2017-01-31 08:31:00
211,Wednesday,0,,2017-02-01 07:22:00,2017-02-01 07:22:00
212,Wednesday,19,,2017-02-01 08:29:00,2017-02-01 08:40:00
213,Thursday,2,,2017-02-02 07:32:00,2017-02-02 07:38:00
214,Thursday,0,Rain,2017-02-02 08:28:00,2017-02-02 08:28:00
215,Friday,0,,2017-02-03 07:33:00,2017-02-03 07:35:00
216,Friday,10,,2017-02-03 08:24:00,2017-02-03 08:29:00
217,Monday,0,,2017-02-06 07:23:00,2017-02-06 07:23:00
218,Monday,5,,2017-02-06 08:35:00,2017-02-06 08:38:00
219,Tuesday,0,,2017-02-07 07:17:00,2017-02-07 07:17:00
220,Tuesday,7,Rain,2017-02-07 08:19:00,2017-02-07 08:22:00
221,Wednesday,10,,2017-02-08 07:43:00,2017-02-08 07:48:00
222,Wednesday,6,,2017-02-08 08:09:00,2017-02-08 08:12:00
223,Thursday,0,,2017-02-09 07:23:00,2017-02-09 07:23:00
224,Thursday,10,,2017-02-09 08:40:00,2017-02-09 08:45:00
225,Friday,21,,2017-02-10 07:37:00,2017-02-10 07:51:00
226,Tuesday,0,,2017-02-14 07:16:00,2017-02-14 07:18:00
227,Wednesday,0,,2017-02-15 06:58:00,2017-02-15 06:58:00
228,Wednesday,0,,2017-02-15 08:37:00,2017-02-15 08:37:00
229,Thursday,1,,2017-02-16 07:22:00,2017-02-16 07:22:00
230,Thursday,7,,2017-02-16 08:43:00,2017-02-16 08:57:00
231,Friday,0,,2017-02-17 06:58:00,2017-02-17 06:58:00
232,Friday,2,,2017-02-17 08:01:00,2017-02-17 08:01:00
233,Tuesday,7,,2017-02-21 07:22:00,2017-02-21 07:26:00
234,Wednesday ,5,,2017-02-22 07:13:00,2017-02-22 07:21:00
235,Wednesday ,25,,2017-02-22 08:20:00,2017-02-22 08:36:00
236,Thursday,1,,2017-02-23 07:24:00,2017-02-23 07:24:00
237,Thursday,3,,2017-02-23 08:15:00,2017-02-23 08:15:00
238,Friday,0,,2017-02-24 07:19:00,2017-02-24 07:23:00
239,Friday,4,,2017-02-24 08:06:00,2017-02-24 08:08:00
240,Monday,9,,2017-02-27 07:22:00,2017-02-27 07:27:00
241,Monday,25,,2017-02-27 08:01:00,2017-02-27 08:10:00
242,Tuesday,2,,2017-02-28 07:21:00,2017-02-28 07:24:00
243,Tuesday,4,,2017-02-28 08:20:00,2017-02-28 08:22:00
244,Wednesday,0,,2017-03-01 07:23:00,2017-03-01 07:25:00
245,Wednesday,8,,2017-03-01 08:10:00,2017-03-01 08:14:00
246,Thursday,0,,2017-03-02 07:27:00,2017-03-02 07:27:00
247,Tuesday,6,,2017-03-07 07:06:00,2017-03-07 07:07:00
248,Tuesday,18,,2017-03-07 08:13:00,2017-03-07 08:17:00
249,Wednesday,0,,2017-03-08 07:23:00,2017-03-08 07:23:00
250,Wednesday,5,,2017-03-08 08:15:00,2017-03-08 08:16:00
251,Thursday,4,,2017-03-09 07:34:00,2017-03-09 07:36:00
252,Thursday,10,,2017-03-09 08:24:00,2017-03-09 08:28:00
253,Friday,0,,2017-03-10 06:27:00,2017-03-10 06:31:00
254,Friday,11,,2017-03-10 08:11:00,2017-03-10 08:17:00
255,Monday,13,,2017-03-13 07:31:00,2017-03-13 07:38:00
256,Monday,1,,2017-03-13 08:31:00,2017-03-13 08:31:00
257,Tuesday,17,,2017-03-14 07:31:00,2017-03-14 07:41:00
258,Wednesday,5,,2017-03-15 08:41:00,2017-03-15 08:45:00
259,Thursday ,3,,2017-03-16 06:30:00,2017-03-16 06:38:00
260,Thursday ,8,,2017-03-16 08:46:00,2017-03-16 08:54:00
261,Friday,0,,2017-03-17 06:31:00,2017-03-17 06:38:00
262,Friday,0,,2017-03-17 08:03:00,2017-03-17 08:03:00
263,Monday,7,,2017-03-20 07:42:00,2017-03-20 07:52:00
264,Monday,3,,2017-03-20 08:31:00,2017-03-20 08:33:00
265,Tuesday,0,rain,2017-03-21 07:21:00,2017-03-21 07:21:00
266,Tuesday,9,,2017-03-21 08:13:00,2017-03-21 08:16:00
267,Wednesday,0,,2017-03-22 06:52:00,2017-03-22 06:52:00
268,Thursday,14,,2017-03-23 08:06:00,2017-03-23 08:13:00
